id_station,nom_station,longitude,latitude,altitude_metres,precipitations_mm,qualite_donnee_rr,date,code_departement
1004003,AMBERIEU,5.348333,45.955,249,16.0,1.0,1877-05-10,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-05-11,01
1004003,AMBERIEU,5.348333,45.955,249,49.0,1.0,1877-05-12,01
1004003,AMBERIEU,5.348333,45.955,249,33.0,1.0,1877-05-13,01
1004003,AMBERIEU,5.348333,45.955,249,7.0,1.0,1877-05-14,01
1004003,AMBERIEU,5.348333,45.955,249,8.0,1.0,1877-05-15,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-16,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-17,01
1004003,AMBERIEU,5.348333,45.955,249,4.0,1.0,1877-05-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-19,01
1004003,AMBERIEU,5.348333,45.955,249,17.0,1.0,1877-05-20,01
1004003,AMBERIEU,5.348333,45.955,249,3.0,1.0,1877-05-21,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-22,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-23,01
1004003,AMBERIEU,5.348333,45.955,249,7.0,1.0,1877-05-24,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-25,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-28,01
1004003,AMBERIEU,5.348333,45.955,249,35.0,1.0,1877-05-29,01
1004003,AMBERIEU,5.348333,45.955,249,78.0,1.0,1877-05-30,01
1004003,AMBERIEU,5.348333,45.955,249,72.0,1.0,1877-05-31,01
1004003,AMBERIEU,5.348333,45.955,249,13.0,1.0,1877-06-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-04,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-06-05,01
1004003,AMBERIEU,5.348333,45.955,249,52.0,1.0,1877-06-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-07,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-08,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-09,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-06-10,01
